trade_id,position_id,source,ticker,side,trade_date,quantity,price,commission,reason,signal_date,signal_snapshot,sim_quantity,sim_price
1,1,backtest,AVGO,buy,2023-01-04,35.506856,563.2715,0.0,entry_signal,2023-01-03,"{""rs_20_spy"": 1.097647, ""rs_60_spy"": 1.135414, ""rs_20_qqq"": 1.138787, ""rs_60_qqq"": 1.22822}",355.068564,56.3271
2,2,backtest,NVDA,buy,2023-01-18,113.790382,176.7583,0.0,entry_signal,2023-01-17,"{""rs_20_spy"": 1.018198, ""rs_60_spy"": 1.354959, ""rs_20_qqq"": 1.024543, ""rs_60_qqq"": 1.40826}",1137.903822,17.6758
3,3,backtest,AMD,buy,2023-01-18,279.718183,71.9059,0.0,entry_signal,2023-01-17,"{""rs_20_spy"": 1.049217, ""rs_60_spy"": 1.153571, ""rs_20_qqq"": 1.055756, ""rs_60_qqq"": 1.19895}",279.718183,71.9059
4,4,backtest,META,buy,2023-01-31,138.475896,148.024,0.0,entry_signal,2023-01-30,"{""rs_20_spy"": 1.170498, ""rs_60_spy"": 1.476001, ""rs_20_qqq"": 1.122459, ""rs_60_qqq"": 1.460573}",138.475896,148.024
5,3,backtest,AMD,sell,2023-02-17,279.718183,77.6739,0.0,trailing_stop,2023-02-17,"{""rs_20_spy"": 1.089004, ""rs_60_spy"": 1.044855, ""rs_20_qqq"": 1.051563, ""rs_60_qqq"": 1.011615}",279.718183,77.6739
6,5,backtest,MSFT,buy,2023-02-22,85.740325,254.217,0.0,entry_signal,2023-02-21,"{""rs_20_spy"": 1.048233, ""rs_60_spy"": 1.031126, ""rs_20_qqq"": 1.026198, ""rs_60_qqq"": 1.002954}",85.740325,254.217
7,4,backtest,META,sell,2023-02-24,138.475896,168.5413,0.0,trailing_stop,2023-02-24,"{""rs_20_spy"": 1.181181, ""rs_60_spy"": 1.557364, ""rs_20_qqq"": 1.162661, ""rs_60_qqq"": 1.513694}",138.475896,168.5413
8,6,backtest,META,buy,2023-02-28,129.688138,171.9859,0.0,entry_signal,2023-02-27,"{""rs_20_spy"": 1.139639, ""rs_60_spy"": 1.532105, ""rs_20_qqq"": 1.126124, ""rs_60_qqq"": 1.474894}",129.688138,171.9859
9,1,backtest,AVGO,sell,2023-04-13,35.506856,618.7605,0.0,exit_signal,2023-04-12,"{""rs_20_spy"": 0.939236, ""rs_60_spy"": 1.043688, ""rs_20_qqq"": 0.931496, ""rs_60_qqq"": 0.961387}",355.068564,61.876
10,7,backtest,AAPL,buy,2023-04-18,151.737794,166.1831,0.0,entry_signal,2023-04-17,"{""rs_20_spy"": 1.004323, ""rs_60_spy"": 1.14421, ""rs_20_qqq"": 1.019353, ""rs_60_qqq"": 1.054083}",151.737794,166.1831
11,5,backtest,MSFT,sell,2023-07-28,85.740325,333.5032,0.0,exit_signal,2023-07-27,"{""rs_20_spy"": 0.949688, ""rs_60_spy"": 0.992372, ""rs_20_qqq"": 0.953141, ""rs_60_qqq"": 0.926671}",85.740325,333.5032
12,8,backtest,GOOGL,buy,2023-08-01,259.679431,130.8454,0.0,entry_signal,2023-07-31,"{""rs_20_spy"": 1.073629, ""rs_60_spy"": 1.118045, ""rs_20_qqq"": 1.067563, ""rs_60_qqq"": 1.039792}",259.679431,130.8454
13,7,backtest,AAPL,sell,2023-08-07,151.737794,182.0389,0.0,exit_signal,2023-08-04,"{""rs_20_spy"": 0.936782, ""rs_60_spy"": 0.972154, ""rs_20_qqq"": 0.939547, ""rs_60_qqq"": 0.915979}",151.737794,182.0389
14,9,backtest,AMZN,buy,2023-08-08,236.153958,140.6903,0.0,entry_signal,2023-08-07,"{""rs_20_spy"": 1.09127, ""rs_60_spy"": 1.177886, ""rs_20_qqq"": 1.092369, ""rs_60_qqq"": 1.116972}",236.153958,140.6903
